sasdate,CPI_raw,CPI_t
1970-03-01,38.3,0.5235614053944904
1970-04-01,38.5,0.5208345107138523
1970-05-01,38.6,0.2594035177046372
1970-06-01,38.8,0.5167970158442614
1970-07-01,38.9,0.25740039951727134
1970-08-01,39,0.2567395505245873
1970-09-01,39.2,0.5115100666770456
1970-10-01,39.4,0.5089069507471233
1970-11-01,39.6,0.5063301956546695
1970-12-01,39.8,0.5037794029957077
1971-01-01,39.9,0.25094116054260596
1971-02-01,39.9,0
1971-03-01,40,0.25031302181184323
1971-04-01,40.1,0.24968801985871814
1971-05-01,40.3,0.49751346401136765
1971-06-01,40.5,0.4950505159856178
1971-07-01,40.6,0.24660924951938057
1971-08-01,40.7,0.24600258408624676
1971-09-01,40.8,0.24539889615664556
1971-10-01,40.9,0.24479816386397957
1971-11-01,41,0.24420036555521385
1971-12-01,41.1,0.24360547978812264
1972-01-01,41.2,0.24301348532915767
1972-02-01,41.4,0.4842624475787982
1972-03-01,41.4,0
1972-04-01,41.5,0.24125464053836865
1972-05-01,41.6,0.2406740030565402
1972-06-01,41.7,0.24009615375382154
1972-07-01,41.8,0.23952107259543887
1972-08-01,41.9,0.238948739738154
1972-09-01,42.1,0.4761913760243708
1972-10-01,42.2,0.23724803536304684
1972-11-01,42.4,0.47281411959461117
1972-12-01,42.5,0.2355713692459016
1973-01-01,42.7,0.4694844304207635
1973-02-01,43,0.7001195458983478
1973-03-01,43.4,0.9259325412796837
1973-04-01,43.7,0.6888660995185258
1973-05-01,43.9,0.4566217979581122
1973-06-01,44.2,0.6810469002526798
1973-07-01,44.2,0
1973-08-01,45,1.7937700686667224
1973-09-01,45.2,0.4434597067866086
1973-10-01,45.6,0.8810629682154847
1973-11-01,45.9,0.6557400546158831
1973-12-01,46.3,0.8676844025688801
1974-01-01,46.8,1.0741241831413006
1974-02-01,47.3,1.0627092574285957
1974-03-01,47.8,1.051534399952292
1974-04-01,48.1,0.6256537614305557
1974-05-01,48.6,1.0341353794732555
1974-06-01,49,0.8196767204178279
1974-07-01,49.3,0.6103782938017943
1974-08-01,49.9,1.2096921708828479
1974-09-01,50.6,1.3930573535946955
1974-10-01,51,0.7874056430905885
1974-11-01,51.5,0.9756174945364737
1974-12-01,51.9,0.773698250215249
1975-01-01,52.3,0.7677580899034364
1975-02-01,52.6,0.5719748672786906
1975-03-01,52.8,0.3795070968551695
1975-04-01,53,0.3780722839906048
1975-05-01,53.1,0.1885014695771403
1975-06-01,53.5,0.7504725654067457
1975-07-01,54,0.9302392662313697
1975-08-01,54.2,0.3696861881326008
1975-09-01,54.6,0.7352974305258719
1975-10-01,54.9,0.5479465764625324
1975-11-01,55.3,0.7259560012804478
1975-12-01,55.6,0.5410292728247335
1976-01-01,55.8,0.35906681307285027
1976-02-01,55.9,0.1790510773788334
1976-03-01,56,0.17873105740964235
1976-04-01,56.1,0.1784121793501292
1976-05-01,56.4,0.5333345975362391
1976-06-01,56.7,0.5305052229693352
1976-07-01,57,0.5277057100843585
1976-08-01,57.3,0.5249355886143725
1976-09-01,57.6,0.5221943981151611
1976-10-01,57.9,0.5194816877104103
1976-11-01,58.1,0.3448279278916111
1976-12-01,58.4,0.5150225976315426
1977-01-01,58.7,0.5123836999869624
1977-02-01,59.3,1.0169579169629017
1977-03-01,59.6,0.5046268067624204
1977-04-01,60,0.6688988150796327
1977-05-01,60.2,0.33277900926753645
1977-06-01,60.5,0.4971012722020163
1977-07-01,60.8,0.4946423935325406
1977-08-01,61.1,0.49220772054283657
1977-09-01,61.3,0.32679767646159874
1977-10-01,61.6,0.48820275973087135
1977-11-01,62,0.6472514505617255
1977-12-01,62.3,0.48270407483155253
1978-01-01,62.7,0.640002184546784
1978-02-01,63,0.47732787526575393
1978-03-01,63.4,0.6329135051647228
1978-04-01,63.9,0.7855499940308874
1978-05-01,64.5,0.9345862418237871
1978-06-01,65,0.7722046093910251
1978-07-01,65.5,0.7662872745569871
1978-08-01,65.9,0.6088298867254593
1978-09-01,66.5,0.9063506153347056
1978-10-01,67.1,0.8982096315827803
1978-11-01,67.5,0.5943553900848109
1978-12-01,67.9,0.5908436686166141
1979-01-01,68.5,0.8797710703529305
1979-02-01,69.2,1.016711735544451
1979-03-01,69.9,1.0064786616140076
1979-04-01,70.6,0.9964495259431772
1979-05-01,71.4,1.1267724846343086
1979-06-01,72.2,1.114217655324179
1979-07-01,73,1.1019395249610042
1979-08-01,73.7,0.954335804690043
1979-09-01,74.4,0.9453142643755186
1979-10-01,75.2,1.0695289116747553
1979-11-01,76,1.0582109330536937
1979-12-01,76.9,1.1772536225267416
1980-01-01,78,1.4202950177993223
1980-02-01,79,1.2739025777429802
1980-03-01,80.1,1.382800160729225
1980-04-01,80.9,0.9937969990132522
1980-05-01,81.7,0.9840177801510919
1980-06-01,82.5,0.9744291474677702
1980-07-01,82.6,0.12113871862977632
1980-08-01,83.2,0.7237667300230122
1980-09-01,83.9,0.8378265645998084
1980-10-01,84.7,0.948998818484803
1980-11-01,85.6,1.0569681489687177
1980-12-01,86.4,0.9302392662314141
1981-01-01,87.2,0.9216655104923532
1981-02-01,88,0.9132483563273119
1981-03-01,88.6,0.6795043132828305
1981-04-01,89.1,0.5627476865728731
1981-05-01,89.7,0.6711434587986176
1981-06-01,90.5,0.8879081641130604
1981-07-01,91.5,1.0989121575595284
1981-08-01,92.2,0.7621158281072127
1981-09-01,93.1,0.9714053720473181
1981-10-01,93.4,0.32171609517757105
1981-11-01,93.8,0.4273510777381695
1981-12-01,94.1,0.3193190579155569
1982-01-01,94.4,0.31830265601211494
1982-02-01,94.7,0.3172927040576923
